<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SSB,20210324,20.1500,20.1500,20.1500,20.1500,6007500
SSB,20210325,21.5500,21.5500,21.5500,21.5500,1464100
SSB,20210326,23.0500,23.0500,23.0500,23.0500,1078500
SSB,20210329,24.6500,24.6500,24.0000,24.6500,3992200
SSB,20210330,26.3500,26.3500,26.2500,26.3500,1896300
SSB,20210331,28.1500,28.1500,27.2000,28.1500,4138700
SSB,20210401,28.1000,28.2000,27.1000,28.2000,3793500
SSB,20210402,27.7000,28.2500,27.7000,28.2500,2990700
SSB,20210405,28.0500,28.1500,27.4000,28.1000,1564100
SSB,20210406,28.0000,28.0000,27.3000,28.0000,1881700
SSB,20210407,28.0000,28.0000,27.5000,28.0000,1208100
SSB,20210408,27.8000,27.8000,27.5000,27.6000,911300
SSB,20210409,27.0000,27.7000,27.0000,27.7000,955900
SSB,20210412,27.3000,27.7000,27.0000,27.7000,846900
SSB,20210413,27.1000,27.5000,27.1000,27.3000,433600
SSB,20210414,27.0000,27.2500,26.8000,26.8000,579800
SSB,20210415,26.4000,27.0000,25.5000,27.0000,1409400
SSB,20210416,27.0000,27.3000,26.5000,27.3000,574400
SSB,20210419,27.3500,27.5000,27.1000,27.5000,886900
SSB,20210420,27.6000,27.6000,27.4000,27.5000,1465400
SSB,20210422,27.3000,27.5000,26.8000,27.5000,729000
SSB,20210423,27.5000,27.5000,26.1000,26.1000,853900
SSB,20210426,27.0000,27.2000,26.3500,26.8000,578000
SSB,20210427,25.1000,26.9000,25.1000,26.9000,705300
SSB,20210428,26.8000,26.9500,26.0000,26.8000,846500
SSB,20210429,26.1000,26.9500,26.1000,26.8500,1199900
SSB,20210504,26.0500,26.5000,26.0500,26.4000,1055500
SSB,20210505,26.4000,26.5000,26.1000,26.4500,647500
SSB,20210506,26.4500,28.3000,26.3000,27.3500,1078900
SSB,20210507,27.5000,27.7000,27.0000,27.5000,1122000
SSB,20210510,27.5000,28.0000,27.0000,28.0000,1638300
SSB,20210511,28.3000,28.3000,27.7000,28.0000,942400
SSB,20210512,28.0000,28.0000,27.7000,28.0000,1429600
SSB,20210513,28.0000,28.5000,27.1000,28.3000,2069300
SSB,20210514,28.5000,30.2500,27.5000,30.2500,3100400
SSB,20210517,30.3000,32.0000,30.3000,31.4500,3145000
SSB,20210518,32.1000,32.1000,31.4000,31.5000,3096400
SSB,20210519,31.5000,31.9500,29.5000,31.7500,3510600
SSB,20210520,31.9500,31.9500,29.6000,31.7500,4030600
SSB,20210521,31.7500,32.0000,30.3500,32.0000,4272700
SSB,20210524,32.0000,32.6000,30.5000,32.6000,2716700
SSB,20210525,32.9500,34.8500,30.5000,34.8500,3725900
SSB,20210526,34.9000,37.2000,33.5000,37.2000,2720400
SSB,20210527,37.3000,37.3500,35.0500,37.0500,2077400
SSB,20210528,37.0000,39.0000,35.5000,39.0000,2006200
SSB,20210531,39.0000,40.8000,38.0000,40.8000,1832500
SSB,20210601,40.8500,41.9000,39.0000,40.9000,1733600
SSB,20210602,40.7000,41.5000,38.9000,41.5000,1816900
SSB,20210603,41.6000,43.0000,39.0500,43.0000,2794400
SSB,20210604,43.4000,45.5000,40.1000,45.5000,4445100
SSB,20210607,45.5000,45.5000,42.4000,43.5000,1594600
SSB,20210608,41.5000,43.0000,40.6000,43.0000,2450000
SSB,20210609,40.5000,43.2000,40.1500,40.2000,2641700
SSB,20210610,40.7000,42.6000,37.5000,41.3000,3337900
SSB,20210611,41.3000,42.9000,39.5000,42.9000,2589300
SSB,20210614,42.9000,43.0000,41.0000,43.0000,2782100
SSB,20210615,42.9000,42.9500,40.1000,41.3000,2466800
SSB,20210616,41.3000,41.3000,38.6000,39.8000,1489700
SSB,20210617,39.6000,39.8000,37.4000,39.7000,1823600
SSB,20210618,38.0000,40.4500,37.0000,40.3500,2734900
SSB,20210621,40.0000,40.3500,39.0000,40.0000,2216300
SSB,20210622,40.0000,40.1000,38.9000,40.0500,2389900
SSB,20210623,39.9500,39.9500,39.0500,39.7000,2069900
SSB,20210624,39.7000,39.8500,39.0000,39.7500,2276400
SSB,20210625,39.8000,40.1000,39.0000,40.1000,2106000
SSB,20210628,39.1000,41.0000,38.5000,40.8000,2093400
SSB,20210629,40.8000,41.0000,40.7000,40.9500,2099600
SSB,20210630,40.9500,41.3500,39.5000,41.1500,2195300
SSB,20210701,41.1500,41.2000,39.3000,40.8500,2349400
SSB,20210702,40.9000,42.4000,39.9500,42.4000,3294900
SSB,20210705,42.4000,42.4000,41.0000,42.2000,2506700
SSB,20210706,42.2000,42.3500,40.3000,41.7000,3177800
SSB,20210707,41.1500,42.0000,40.0000,41.9000,3388500
SSB,20210708,41.8000,41.8000,40.5000,41.5000,2656800
SSB,20210709,41.3000,41.6000,40.0000,40.6000,2824800
SSB,20210712,40.3000,40.3000,37.8000,38.0000,1625200
SSB,20210713,37.5000,38.6000,36.3000,38.6000,1732300
SSB,20210714,38.5000,38.5000,37.1000,38.2000,1798000
SSB,20210715,38.0000,40.4000,37.5000,40.3000,1725100
SSB,20210716,40.3000,41.0000,38.9500,39.4500,1963600
SSB,20210719,38.9000,38.9000,37.0000,37.0000,1590100
